sim_id,strategy,topology,nodes,seed,load,policy_type,policy_param,placement_success,time_s
187,best-fit,star,50,3997,0.5,degrade,0.4,0.0161111111111111,1.35
188,best-fit,star,50,3997,0.5,degrade,0.5,0.0216666666666666,1.462
189,best-fit,star,50,3997,0.5,degrade,0.6,0.0294444444444444,1.579
190,best-fit,star,50,3997,0.5,kill,0.01,0.0877777777777777,2.528
191,best-fit,star,50,3997,0.5,kill,0.05,0.1327777777777777,2.224
192,best-fit,star,50,3997,0.5,kill,0.1,0.0944444444444444,2.444
193,best-fit,hierarchical,20,42,0.0,degrade,0.4,0.0661111111111111,1.105
194,best-fit,hierarchical,20,42,0.0,degrade,0.5,0.0894444444444444,1.042
195,best-fit,hierarchical,20,42,0.0,degrade,0.6,0.1205555555555555,1.132
196,best-fit,hierarchical,20,42,0.0,kill,0.01,0.3177777777777777,1.5
197,best-fit,hierarchical,20,42,0.0,kill,0.05,0.4527777777777778,1.475
198,best-fit,hierarchical,20,42,0.0,kill,0.1,0.3144444444444444,1.289
199,best-fit,hierarchical,20,42,0.5,degrade,0.4,0.0666666666666666,1.008
200,best-fit,hierarchical,20,42,0.5,degrade,0.5,0.0888888888888888,1.078
201,best-fit,hierarchical,20,42,0.5,degrade,0.6,0.1255555555555555,1.112
202,best-fit,hierarchical,20,42,0.5,kill,0.01,0.4544444444444444,1.342
203,best-fit,hierarchical,20,42,0.5,kill,0.05,0.2388888888888889,1.319
204,best-fit,hierarchical,20,42,0.5,kill,0.1,0.1561111111111111,1.117
205,best-fit,hierarchical,20,3997,0.0,degrade,0.4,0.0655555555555555,0.963
206,best-fit,hierarchical,20,3997,0.0,degrade,0.5,0.0861111111111111,0.964
207,best-fit,hierarchical,20,3997,0.0,degrade,0.6,0.1166666666666666,1.013
208,best-fit,hierarchical,20,3997,0.0,kill,0.01,0.8444444444444444,1.359
209,best-fit,hierarchical,20,3997,0.0,kill,0.05,0.6033333333333334,1.268
210,best-fit,hierarchical,20,3997,0.0,kill,0.1,0.495,1.358
211,best-fit,hierarchical,20,3997,0.5,degrade,0.4,0.0672222222222222,0.971
212,best-fit,hierarchical,20,3997,0.5,degrade,0.5,0.0894444444444444,0.957
213,best-fit,hierarchical,20,3997,0.5,degrade,0.6,0.1227777777777777,0.941
214,best-fit,hierarchical,20,3997,0.5,kill,0.01,0.7394444444444445,1.539
215,best-fit,hierarchical,20,3997,0.5,kill,0.05,0.29,1.294
216,best-fit,hierarchical,20,3997,0.5,kill,0.1,0.3733333333333333,1.254
217,best-fit,hierarchical,50,42,0.0,degrade,0.4,0.0672222222222222,2.28
218,best-fit,hierarchical,50,42,0.0,degrade,0.5,0.0911111111111111,2.695
219,best-fit,hierarchical,50,42,0.0,degrade,0.6,0.1222222222222222,3.24
220,best-fit,hierarchical,50,42,0.0,kill,0.01,0.9116666666666666,3.798
221,best-fit,hierarchical,50,42,0.0,kill,0.05,0.5727777777777778,3.554
222,best-fit,hierarchical,50,42,0.0,kill,0.1,0.4611111111111111,3.246
223,best-fit,hierarchical,50,42,0.5,degrade,0.4,0.0683333333333333,2.364
224,best-fit,hierarchical,50,42,0.5,degrade,0.5,0.09,2.513
225,best-fit,hierarchical,50,42,0.5,degrade,0.6,0.1222222222222222,2.888
226,best-fit,hierarchical,50,42,0.5,kill,0.01,0.7094444444444444,4.809
227,best-fit,hierarchical,50,42,0.5,kill,0.05,0.4911111111111111,4.043
228,best-fit,hierarchical,50,42,0.5,kill,0.1,0.3077777777777777,3.827
229,best-fit,hierarchical,50,3997,0.0,degrade,0.4,0.0661111111111111,2.25
230,best-fit,hierarchical,50,3997,0.0,degrade,0.5,0.0911111111111111,2.235
231,best-fit,hierarchical,50,3997,0.0,degrade,0.6,0.1177777777777777,2.648
232,best-fit,hierarchical,50,3997,0.0,kill,0.01,0.7811111111111111,3.463
233,best-fit,hierarchical,50,3997,0.0,kill,0.05,0.65,2.84
234,best-fit,hierarchical,50,3997,0.0,kill,0.1,0.5283333333333333,3.043
235,best-fit,hierarchical,50,3997,0.5,degrade,0.4,0.0644444444444444,2.329
